_id,cod_empresa,razao_social,nome_fantasia,cod_logradouro,nome_logradouro,numero,cod_bairro,nome_bairro,situacao_empresa,data_inicio,data_encerramento,latitude,longitude
24,9833,ADILSON BERNADINO  ALBUQUERQUE MAT LIMP DESCARTAVEL ME,COMERCIAL ALBUQUERQUE,60275,Rua Marechal Taumaturgo,338,884,COHAB,ATIVO,2010-09-03T00:00:00,"",,
25,2543,MARCELO HENRIQUE DA SILVA DELMAS 83133402404,MD MANUTENCAO E SERVICOS DE MAQUINAS,5800,Rua Antônio Gonçalves da Cruz,50,884,COHAB,ATIVO,2019-10-26T00:00:00,"",,
26,7832,G.A.LINS RIBEIRO COMERCIO - ME,SUPER CACHORRAO,5800,Rua Antônio Gonçalves da Cruz,74,884,COHAB,ATIVO,2016-10-06T00:00:00,"",,
27,7618,JORGE VICTOR MARTINS RIBEIRO 06504667489,JVM SERVICOS E LOCACAO,5800,Rua Antônio Gonçalves da Cruz,74,884,COHAB,ATIVO,2019-10-17T00:00:00,"",,
28,1751,HOLLTEC SOLLAR TECNOLOGIAS SUSTENTAVEIS LTDA,HOLLTEC SOLLAR,27111,Rua Goncalves Ledo,33,884,COHAB,ATIVO,2010-02-23T00:00:00,"",,
29,2653,SONIC SOLLAR TECNOLOGIA FOTOVOLTAICA LTDA,SONIC SOLLAR,27111,Rua Goncalves Ledo,33,884,COHAB,ATIVO,2021-03-22T00:00:00,"",,
30,4623,ESCOLA NOVO RUMO LTDA,ESCOLA NOVO RUMO,15660,Rua Castro Menezes,33,884,COHAB,ATIVO,1995-01-11T00:00:00,"",,
31,2093,MAURICIO DE ANDRADE SILVA MERCADINHO,"",60275,Rua Marechal Taumaturgo,183,884,COHAB,ATIVO,2016-03-31T00:00:00,"",,
32,8565,W. JOAO DA SILVA PANIFICADORA EIRELI,"",60275,Rua Marechal Taumaturgo,183,884,COHAB,ATIVO,2018-08-21T12:30:10,"",,
33,586,P. R. DIAS INACIO MERCADINHO EIRELI,SUPERMERCADO SERAFIM,60275,Rua Marechal Taumaturgo,183,884,COHAB,ATIVO,2020-03-19T00:00:00,"",,
34,7374,AÇOUGUE BOM DE PREÇO LTDA,"",60275,Rua Marechal Taumaturgo,183,884,COHAB,ATIVO,2021-05-07T00:00:00,"",,
35,1225,VICENTE & ARANTES COMERCIO LTDA ME,MERCADINHO NOVO HORIZONTE,60275,Rua Marechal Taumaturgo,191,884,COHAB,ATIVO,1999-01-01T00:00:00,"",,
36,877,J L FRUTAS COMERCIO LTDA,J L FRUTAS,60275,Rua Marechal Taumaturgo,191,884,COHAB,ATIVO,2004-04-26T00:00:00,"",,
37,2579,JOSE GOMES DA SILVA MINIMERCADO,SUPERMERCADO JACY,60275,Rua Marechal Taumaturgo,191,884,COHAB,ATIVO,2013-10-17T00:00:00,"",,
38,7745,BEATRIZ C LUCIANO ME,D B A UTILIDADES DOMESTICA DE PLASTICO,60275,Rua Marechal Taumaturgo,191,884,COHAB,ATIVO,2014-10-17T00:00:00,"",,
39,4148,MARIA JOSENILDA FERREIRA TUME,FARMACIA BOA DE PRECO,60275,Rua Marechal Taumaturgo,191,884,COHAB,ATIVO,2021-03-23T00:00:00,"",,
40,9586,ESCOLA FUTURO CIDADAO LTDA,"",60275,Rua Marechal Taumaturgo,23,884,COHAB,ATIVO,1998-01-12T00:00:00,"",,
41,943,ADEILDO FONSECA DE MELO ME,"",62707,Rua Vale do Cariri,,884,COHAB,ATIVO,2006-03-27T00:00:00,"",,
42,8754,EMANOEL OLIVEIRA DE SOUZA PANIFICADORA ME,"",62707,Rua Vale do Cariri,,884,COHAB,ATIVO,2012-02-04T00:00:00,"",,
43,8215,PADARIA ALIANÇA EIRELI,PADARIA ALIANCA,62707,Rua Vale do Cariri,,884,COHAB,ATIVO,2021-02-23T00:00:00,"",,
44,2069,CORDEIRO E PEREIRA LTDA,"",25577,Rua Expedicionário Francisco Vitoriano,,884,COHAB,ATIVO,2001-01-10T00:00:00,"",,
45,8804,COMERCIAL DE MATERIAIS DE CONSTRUÇÃO UTIL LTDA,UTIL  COMERCIAL DE MATERIAIS DE CONSTRUÇÃO,25577,Rua Expedicionário Francisco Vitoriano,,884,COHAB,ATIVO,2005-01-24T00:00:00,"",,
46,2677,JOAO FRANCISCO DE SOUZA MATERIAIS DE CONSTRUCAO - ME,COMERCIAL JOFRAN MATERIAIS DE CONSTRUCAO,25577,Rua Expedicionário Francisco Vitoriano,,884,COHAB,ATIVO,2002-05-20T00:00:00,"",,
47,8096,CONSELHO ESCOLAR DA ESCOLA MUNICIPAL DO IBURA,CONSELHO ESCOLAR,25577,Rua Expedicionário Francisco Vitoriano,,884,COHAB,ATIVO,2003-06-26T00:00:00,"",,
48,1459,DROGARIA PASSOS LTDA,DROGARIA PASSOS,25577,Rua Expedicionário Francisco Vitoriano,,884,COHAB,ATIVO,2020-08-14T00:00:00,"",,
49,8953,CLUBE DE MAES DA UR 5A,"",23906,Rua Felipe dos Santos,,884,COHAB,ATIVO,1991-01-03T00:00:00,"",,
50,4575,GRUPO DA 3 IDADE AMAMOS A VIDA,"",23906,Rua Felipe dos Santos,,884,COHAB,ATIVO,1999-08-07T00:00:00,"",,
51,8453,TROCA CARNAVALESCA MIXTA URSO LINGUA DE OURO,"",3379,Rua Alto Paranaiba,84,884,COHAB,ATIVO,1988-01-03T00:00:00,"",,
52,10046,ANTONIO LUCAS AZEVEDO PANIFICADORA,PANIFICADORA SAO FRANCISCO,25577,Rua Expedicionário Francisco Vitoriano,,884,COHAB,ATIVO,1992-01-11T00:00:00,"",,
53,3274,JOAO CARLOS PEREIRA DE BARROS EPP,"",25577,Rua Expedicionário Francisco Vitoriano,,884,COHAB,ATIVO,2010-01-10T00:00:00,"",,
54,7140,EDUARDO A DA SILVA NERI,PANIFICADORA KARINI,25577,Rua Expedicionário Francisco Vitoriano,,884,COHAB,ATIVO,2015-10-08T00:00:00,"",,
55,7919,ANDERSON MOREIRA DE LIMA ME,AUTO MECANICA ANDERSON,25577,Rua Expedicionário Francisco Vitoriano,28,884,COHAB,ATIVO,2008-11-28T00:00:00,"",,
56,8099,JOSE GERALDO DOS SANTOS NETO ME,MECANICA SUPER CAR,25577,Rua Expedicionário Francisco Vitoriano,28,884,COHAB,ATIVO,2013-06-17T00:00:00,"",,
57,6971,REGINALDO FERREIRA SALES ME,SALES PRETADORA DE SERVICOS,42978,Rua Poeta Mário de Alencar,,884,COHAB,ATIVO,1998-01-06T00:00:00,"",,
58,2538,ADEILTON PEREIRA DA SILVA MERCEARIA EPP,MINE MERCADO FRIGO GRANJA,25577,Rua Expedicionário Francisco Vitoriano,22,884,COHAB,ATIVO,2005-11-08T00:00:00,"",-8.135603,-34.951711
59,6890,LUCENA & SILVA MERCADINHO LTDA ME,MERCADINHO KI ECONOMIA,25577,Rua Expedicionário Francisco Vitoriano,50,884,COHAB,ATIVO,2011-09-06T00:00:00,"",-8.135535,-34.951595
60,5821,KASSIO CESAR BARBOSA DA COSTA LIMA 09501570401,KASSIO CESAR BARBOSA DA COSTA LIMA 09501570401,25577,Rua Expedicionário Francisco Vitoriano,50,884,COHAB,ATIVO,2016-11-16T00:00:00,"",-8.135535,-34.951595
61,3245,COMERCIAL JUPITER LTDA ME,.,25577,Rua Expedicionário Francisco Vitoriano,,884,COHAB,ATIVO,1987-07-10T00:00:00,"",,
62,8101,M G GUIMARAES COMERCIO DE MOTOS EIRELI ME,MARIANE MOTOS,25577,Rua Expedicionário Francisco Vitoriano,,884,COHAB,ATIVO,2009-09-29T00:00:00,"",,
63,538,MAURO SERGIO DOS SANTOS,GABY MODAS,25577,Rua Expedicionário Francisco Vitoriano,,884,COHAB,ATIVO,2010-04-27T00:00:00,"",,
64,7301,DROGALIMA PRODUTOS QUIMICOS FARMACEUTICOS LTDA ME,DROGALIMA,25577,Rua Expedicionário Francisco Vitoriano,,884,COHAB,ATIVO,1994-07-11T00:00:00,"",,
65,3527,INSTALLAR MONTAGENS DE FORROS E DIVISORIAS EIRELI ME,INSTALLAR SISTEMAS CONSTRUTIVOS,25577,Rua Expedicionário Francisco Vitoriano,,884,COHAB,ATIVO,2012-06-22T00:00:00,"",,
66,2982,L M DE S CABRAL COMERCIO DE PEÇAS E ACESSORIOS  DE MOTO,"",25577,Rua Expedicionário Francisco Vitoriano,,884,COHAB,ATIVO,2018-09-27T11:15:01,"",,
67,10119,DAMIAO ANTONIO LEITE ME,.,35521,Rua Coronel José Candido de Miranda,28,884,COHAB,ATIVO,2007-07-19T00:00:00,"",-8.135519,-34.951152
68,8809,TAVEIRA BELO LTDA,CIA GALHARUFAS DE TEATRO,21431,Rua Eneas de Oliveira Filho,85,884,COHAB,ATIVO,1998-03-02T00:00:00,"",,
69,7310,DISTRIBUIDORA BIG BENN S/A,DROGARIA BIG BENN,70700,Rua da Linha,500,400,PASSARINHO,ATIVO,2011-05-17T00:00:00,"",-7.966857,-34.915773
70,4097,INOV TEC COMERCIO E SERVICOS ELETRONICOS LTDA ME,INOV TEC,124931,Rua Oscar Jucá Rêgo Lima,15,400,PASSARINHO,ATIVO,2005-09-06T00:00:00,"",-7.969112,-34.916267
71,451,STERICYCLE GESTÃO AMBIENTAL LTDA,STERICYCL,56898,Avenida da Recuperação,1212,400,PASSARINHO,ATIVO,2001-03-28T00:00:00,"",,
72,3728,IRIVAM SEVERINO DA SILVA,"",66486,Rua Beija Flor,,400,PASSARINHO,ATIVO,2011-03-18T00:00:00,"",,
73,8467,MP LUB COMERCIO E REPRESENTACOES LTDA,MP LUB DISTRIBUIDORA,56898,Avenida da Recuperação,2,400,PASSARINHO,ATIVO,1987-05-26T00:00:00,"",,
74,6363,MELODIA INDUSTRIA E COMERCIO DE PRODUTOS PARA ANIMAIS L,MELODIA,56898,Avenida da Recuperação,2,400,PASSARINHO,ATIVO,1993-11-17T00:00:00,"",,
75,5416,N. N. PESSOA COMERCIO DE PRODUTOS PARA ANIMAIS LTDA,.,56898,Avenida da Recuperação,2,400,PASSARINHO,ATIVO,1991-01-23T00:00:00,"",,
76,1060,FACIL GESTAO E ADMINISTRACAO DE GALPOES LTDA,FACIL LOG,56898,Avenida da Recuperação,2,400,PASSARINHO,ATIVO,2010-07-20T00:00:00,"",,
77,5682,BR SERVIÇOS E EVENTOS EIRELI ME,BR REFEICOES,56898,Avenida da Recuperação,2,400,PASSARINHO,ATIVO,2013-09-27T00:00:00,"",,
78,3981,ROYAL AGUAS EIRELI EPP,"",56898,Avenida da Recuperação,2,400,PASSARINHO,ATIVO,2017-11-21T00:00:00,"",,
79,6609,OBAPET APLICATIVO DE NEGÓCIOS NA INTERNET EIRELI,OBAPET,56898,Avenida da Recuperação,2,400,PASSARINHO,ATIVO,2019-02-08T00:00:00,"",,
80,9095,MPC PET FOODS COMERCIO DE ARTIGOS DE ANIMAIS LTDA,"",56898,Avenida da Recuperação,2,400,PASSARINHO,ATIVO,2020-09-30T00:00:00,"",,
81,5793,A3 PET INDUSTRIA DE GARRAFOES LTDA,A3 PET,56898,Avenida da Recuperação,2,400,PASSARINHO,ATIVO,2021-09-02T00:00:00,"",,
82,9396,DFS SERVICO DE MODELAGEM POR SOPRO LTDA,DFS SERVICO,56898,Avenida da Recuperação,2,400,PASSARINHO,ATIVO,2021-08-18T00:00:00,"",,
83,3611,ASSOCIACAO DOS MORADORES DO ALTO E CORREGO CARROCEIRO,"",15377,Rua Córrego do Carroceiro,,400,PASSARINHO,ATIVO,1991-01-04T00:00:00,"",,
84,9703,CONSELHO DOS MORADORES DO ALTO DA BICA,"",2992,Rua Alto da Bica,,400,PASSARINHO,ATIVO,1994-01-12T00:00:00,"",,
85,1587,ESCOLA JESUS DE NAZARE EIRELI,INSTITUTO JESUS DE NAZARE,46779,Rua Sabiá,67,400,PASSARINHO,ATIVO,1997-05-02T00:00:00,"",,
86,4842,PITTHAN REPRESENTAÇÃO COMERCIAL DE CONSÓRCIOS - EIRELI,"",65293,Rua Anum,,400,PASSARINHO,ATIVO,2018-11-30T12:16:25,"",,
87,3111,WAGNER JOSE MARQUES DE ARAUJO ME,HIPER,66354,Estrada de Passarinho,1555,400,PASSARINHO,ATIVO,1992-07-01T00:00:00,"",,
88,4812,CONSELHO ESCOLAR DA ESCOLA HISTORIADOR FLAVIO GUERRA,"",81990,Rua Alto da Telha,,400,PASSARINHO,ATIVO,1998-06-03T00:00:00,"",,
89,3081,ESCOLA MONICA MARIA DA SILVA LTDA ME,ESCOLA ESPACO DIDATICO,54780,Avenida Tancredo Neves,845,400,PASSARINHO,ATIVO,2010-12-11T00:00:00,"",,
90,2567,CENTRO DE EDUCACAO MOBILIZACAO E ORGANIZACAO POPULAR,CEMOP,81990,Rua Alto da Telha,,400,PASSARINHO,ATIVO,1987-01-11T00:00:00,"",,
91,4186,RGS TELECON LTDA EPP,RGS  TELECON,81990,Rua Alto da Telha,,400,PASSARINHO,ATIVO,2011-04-11T00:00:00,"",,
92,1682,MANOEL FERNANDES DA SILVA 34372113404,L.C INSTALACOES COMERCIAIS,81990,Rua Alto da Telha,,400,PASSARINHO,ATIVO,2018-10-01T00:00:00,"",,
93,7932,ANGELA MARIA DE OLIVEIRA DO NASCIMENTO,EDUCANDARIO INFANCIA FELIZ,2992,Rua Alto da Bica,16,400,PASSARINHO,ATIVO,2007-09-07T00:00:00,"",,
94,3812,JOSE J RODRIGUES PECAS E SERVICOS AUTOMOTORES EIRELI,ASTEP-PE,56898,Avenida da Recuperação,,400,PASSARINHO,ATIVO,2016-12-05T00:00:00,"",,
95,9615,ECOTRATE AMBIENTAL TRATAMENTO DE RESÍDUOS EIRELI,ECOTRATE,50687,Rua Pereira Barreto,2002,400,PASSARINHO,ATIVO,2020-08-06T00:00:00,"",,
96,7502,ANPE INSTALACOES DE KIT PORTA PRONTA LTDA,"",17809,Rua Córrego da Bica,,400,PASSARINHO,ATIVO,2010-01-13T00:00:00,"",,
97,10025,CLUBE DE MAES DOS MORADORES DO CORREGO DE BICA,"",17809,Rua Córrego da Bica,450,400,PASSARINHO,ATIVO,1988-01-04T00:00:00,"",,
98,5176,CONSELHO ESCOLAR DA ESCOLA NOVA DESCOBERTA,.,65552,Rua Jornalista Waldete Agra,100,400,PASSARINHO,ATIVO,1997-12-08T00:00:00,"",,
99,4406,AZENAIDE GOMES DA SILVA ME,"",60674,Rua Santa Tereza,20,400,PASSARINHO,ATIVO,2007-07-30T00:00:00,"",,
100,7393,JOSE FELICIANO DE ANDRADE,PADARIA SANTA TEREZA,60674,Rua Santa Tereza,20,400,PASSARINHO,ATIVO,2019-05-13T00:00:00,"",,
101,6057,EDUARDO M DA SILVA RACOES ME,ASTRO RACOES,17809,Rua Córrego da Bica,34,400,PASSARINHO,ATIVO,2012-02-05T00:00:00,"",,
102,4925,RGS TELECOMUNICACOES LTDA  EPP,RGS TELECOMUNICACOES,17809,Rua Córrego da Bica,34,400,PASSARINHO,ATIVO,2012-10-12T00:00:00,"",,
103,3977,SIRLEIDE DA S DO NASCIMENTO ME,PANIFICADORA NOTA 10,17809,Rua Córrego da Bica,34,400,PASSARINHO,ATIVO,2013-06-05T00:00:00,"",,
104,9403,HUGO LUIZ GALDINO DE SOUZA EIRELI,FIBERMAIS,17809,Rua Córrego da Bica,34,400,PASSARINHO,ATIVO,2019-06-19T00:00:00,"",,
105,6055,M. B. DA SILVA SANTOS - MERCADINHO,"",65552,Rua Jornalista Waldete Agra,211,400,PASSARINHO,ATIVO,2018-09-17T08:00:01,"",,
106,111,ROMULO ANDRE DA SILVA PEREIRA 07571374405,ROMULO FRETES,77216,Avenida Chagas Ferreira,468,400,PASSARINHO,ATIVO,2021-03-15T00:00:00,"",,
107,5527,FRIGORIFICO SARA LTDA,FRIGORIFICO SARA,65552,Rua Jornalista Waldete Agra,75,400,PASSARINHO,ATIVO,2003-01-08T00:00:00,"",,
108,5410,JOSIVAN L DA SILVA FRIGORIFICO,FRIGORIFICO SARA,65552,Rua Jornalista Waldete Agra,75,400,PASSARINHO,ATIVO,2020-10-09T00:00:00,"",,
109,9049,T F SILVA ESCOLA LTDA,INSTITUTO INFANTIL LAPIS NA MAO,60674,Rua Santa Tereza,15,400,PASSARINHO,ATIVO,2008-05-16T00:00:00,"",,
110,7227,R R DA SILVA COPIADORA,R R COPIADORA,60674,Rua Santa Tereza,15,400,PASSARINHO,ATIVO,2011-06-15T00:00:00,"",,
111,6700,V. L. DO NASCIMENTO FARMACIA,FARMACIA VALDIR,60674,Rua Santa Tereza,15,400,PASSARINHO,ATIVO,2020-08-26T00:00:00,"",,
112,5378,EUDES LIMA DA SILVA 06054304461,FA LA NINNA,82007,Rua Córrego Santa Terezinha,9,400,PASSARINHO,ATIVO,2018-12-20T00:00:00,"",,
113,2691,FLAVIO PATROCINIO GALDINO DE BRITO EIRELI - ME,REI QUIMICA,70700,Rua da Linha,5345,400,PASSARINHO,ATIVO,2007-09-26T00:00:00,"",,
114,3696,PERNAMBUCO COMERCIO DE POLPAS EIRELI,SOPOLPAS,66354,Estrada de Passarinho,1000,400,PASSARINHO,ATIVO,2007-01-25T00:00:00,"",,
115,1714,PLUSS INDUSTRIA DE POLPAS ALIMENTOS E CONCENTRADOS LTDA,"",66354,Estrada de Passarinho,1000,400,PASSARINHO,ATIVO,2019-06-08T00:00:00,"",,
116,9225,MAFRIO LOGISTICA TRANSPORTE E ARMAZENAGEM EIRELI ME,MAFRIO LOGISTICA,66354,Estrada de Passarinho,3453,400,PASSARINHO,ATIVO,2018-08-24T09:24:25,"",,
117,4358,INTERBRASIL DISTRIBUICAO LTDA ME,"",66354,Estrada de Passarinho,3453,400,PASSARINHO,ATIVO,1993-07-30T00:00:00,"",,
118,732,EDNALDO ANTONIO DA SILVA ME,"",77216,Avenida Chagas Ferreira,240,400,PASSARINHO,ATIVO,1982-02-04T00:00:00,"",,
119,9314,COMERCIAL PASSAGAS LTDA ME,"",50687,Rua Pereira Barreto,310,400,PASSARINHO,ATIVO,1996-05-27T00:00:00,"",,
120,2946,ISABELE R DIAS SOUZA - ME,PADARIA SANTO DOCE,50687,Rua Pereira Barreto,310,400,PASSARINHO,ATIVO,2015-01-12T00:00:00,"",,
121,1845,SOUZA & LIMA PROVEDORES DE REDES DE COMUNICAÇÃO LTDA,"",29076,Avenida Hildebrando de Vasconcelos,2994,396,DOIS UNIDOS,ATIVO,2019-05-21T00:00:00,"",,
122,9576,WALTER VIDAL DA SILVA,"",29076,Avenida Hildebrando de Vasconcelos,2742,396,DOIS UNIDOS,ATIVO,2002-01-08T00:00:00,"",,
123,1379,PERTO DE CASA SUPERMERCADO LTDA ME,PERTO DE CASA SUPERMERCADO,29076,Avenida Hildebrando de Vasconcelos,2742,396,DOIS UNIDOS,ATIVO,2016-10-26T00:00:00,"",,
124,1512,FARMACIA JACUMA LTDA ME,"",29076,Avenida Hildebrando de Vasconcelos,2788,396,DOIS UNIDOS,ATIVO,1980-04-29T00:00:00,"",,
125,5147,MERCADINHO DO LULA LTDA,MERCADINHO DO LULA,29076,Avenida Hildebrando de Vasconcelos,2788,396,DOIS UNIDOS,ATIVO,2011-08-19T00:00:00,"",,
126,8407,LILIAN COMERCIO E REPRESENTACOES LTDA,"",29076,Avenida Hildebrando de Vasconcelos,2786,396,DOIS UNIDOS,ATIVO,2002-01-08T00:00:00,"",,
127,9923,TRANSPORTADORA BELTRAO LTDA ME,BELTRAO TRANSPORTADORA,29076,Avenida Hildebrando de Vasconcelos,2786,396,DOIS UNIDOS,ATIVO,2006-03-03T00:00:00,"",,
128,4610,LUIZ GUSTAVO REGIS DE L.B DE FARIAS ME,GUSTAVO TRANSPORTES,29076,Avenida Hildebrando de Vasconcelos,2786,396,DOIS UNIDOS,ATIVO,2006-06-29T00:00:00,"",,
129,9510,ARLINDO E ODETE ESPACO CULTURAL LTDA,ESPACO CULTURAL ARLINDO DOS OITO BAIXOS,29076,Avenida Hildebrando de Vasconcelos,2900,396,DOIS UNIDOS,ATIVO,2009-12-16T00:00:00,"",,
130,3366,G. DE MELO SARAIVA LTDA,GMS ARMAZEM DE CONSTRUCAO,29076,Avenida Hildebrando de Vasconcelos,2980,396,DOIS UNIDOS,ATIVO,2021-06-08T00:00:00,"",,
131,7415,SONIA MARIA ANTONINO DE SOUSA,"",29076,Avenida Hildebrando de Vasconcelos,2738,396,DOIS UNIDOS,ATIVO,1994-01-03T00:00:00,"",,
132,7361,IVALDO RODRIGUES DA CUNHA,MOVELARIA RODRIGUES,29076,Avenida Hildebrando de Vasconcelos,2738,396,DOIS UNIDOS,ATIVO,2006-09-15T00:00:00,"",,
133,8920,MARIA J DA SILVA CONFECCOES ME,MARIA CONFECCOES,29076,Avenida Hildebrando de Vasconcelos,2688,396,DOIS UNIDOS,ATIVO,2003-11-26T00:00:00,"",,
134,9787,MATHEUS T. ANTONINO TECH,TCHUE TECHNOLOGY,29076,Avenida Hildebrando de Vasconcelos,2688,396,DOIS UNIDOS,ATIVO,2020-10-16T00:00:00,"",,
135,6155,FABIO LOPES LEITE CONSULTORIA EM TECNOLOGIA DA INFORMAÇ,ASTRON CONSULTORIA EM TECNOLOGIA DA INFORMACAO,29076,Avenida Hildebrando de Vasconcelos,2688,396,DOIS UNIDOS,ATIVO,2021-01-29T00:00:00,"",,
136,748,MANOEL JOSE DA SILVA FILHO,"",29076,Avenida Hildebrando de Vasconcelos,2722,396,DOIS UNIDOS,ATIVO,2010-09-12T00:00:00,"",,
137,6735,G. M. DA SILVA - ME,GEOVANNA COSMETICOS,29076,Avenida Hildebrando de Vasconcelos,2722,396,DOIS UNIDOS,ATIVO,2011-05-12T00:00:00,"",,
138,8307,DOIS UNIDOS LOTERIAS LTDA,DOIS UNIDOS DA SORTE,29076,Avenida Hildebrando de Vasconcelos,2460,396,DOIS UNIDOS,ATIVO,2020-09-10T00:00:00,"",,
139,7777,LAR PRESBITERIANO VALE DO SENHOR,VALE DO SENHOR,56790,Rua Compositor Raul Valença,340,396,DOIS UNIDOS,ATIVO,1997-01-06T00:00:00,"",,
140,3291,GRUPO ESPIRITA ESPERANCA SEMPRE VIVA,.,56790,Rua Compositor Raul Valença,1309,396,DOIS UNIDOS,ATIVO,2010-02-12T00:00:00,"",,
141,6530,ANDREA KARLA DOS SANTOS SILVA 06721461420,ANDREA KARLA DOS SANTOS SILVA 06721461420,82031,Rua do Agave,,396,DOIS UNIDOS,ATIVO,2020-12-22T00:00:00,"",,
142,5538,FRANKLIN AZEVEDO RIBEIRO EIRELI,.,29076,Avenida Hildebrando de Vasconcelos,123,396,DOIS UNIDOS,ATIVO,2019-09-24T00:00:00,"",,
143,4433,G. M. DA SILVA SALGADOS DO REINO ME,SALGADOS DO REINO,29076,Avenida Hildebrando de Vasconcelos,4,396,DOIS UNIDOS,ATIVO,2013-05-13T00:00:00,"",,
144,8137,FERNANDO VELOSO DA SILVA MERCADINHO ME,MERCADINHO FRANGO COM TUDO DENTRO,66354,Estrada de Passarinho,2075,400,PASSARINHO,ATIVO,2012-09-20T00:00:00,"",,
145,3907,SANTOS E SILVA COMERCIO DE ALIMENTOS LTDA ME,"",66354,Estrada de Passarinho,2055,400,PASSARINHO,ATIVO,2018-02-05T11:18:18,"",-7.98029,-34.917807
146,7430,AGUA VALLE NEVADO EIRELI - EPP,VALLE NEVADO,50687,Rua Pereira Barreto,2016,400,PASSARINHO,ATIVO,2014-08-13T00:00:00,"",,
